claim_id,audience,status,claim_text,evidence,required_qualifier,prohibited_extension
C01,internal,supported,"Counting eligible political units and counting observed population produce materially different regime compositions.","V-005 annual composition and endpoint decisions","Descriptive denominator comparison","Causal or moral interpretation"
C02,public,allowed,"In 1973 clear democracy was 19.62% by eligible unit and 35.26% by observed population.","V-005 Q0 1973 endpoint","Round only for display; identify both denominators","More people preferred democracy"
C03,public,allowed,"In 2025 clear democracy was 41.34% by eligible unit and 21.94% by observed population.","V-005 Q0 2025 endpoint","2025 uses audited WDI population extension; 2024 gate agrees","The world became less democratic"
C04,public,allowed_with_context,"The relationship between the two counts changes sign more than once.","Q0 sign changes in 1974→1975; 1977→1978; 2014→2015","Show or disclose all three crossings","Smooth 52-year reversal"
C05,public,allowed_with_context,"From 2015 through 2025 the population-minus-unit democracy gap remains negative.","V-005 annual Q0 series","Observed annual series only; no forecast","The pattern will continue"
C06,support,allowed,"Endpoint signs survive Q0–Q3 and conservative missing-population allocation bounds.","V-005 H2","Bounds are not confidence intervals","All political classifications would agree"
C07,support,allowed,"Removing one population unit at a time does not flip the endpoint sign.","V-005 leave-one-unit analysis","Concentration still matters","No country materially affects the result"
C08,support,allowed_with_context,"India has the largest population-weighted influence at the endpoints and transitions.","V-005 influence and transition diagnostics","Arithmetic influence only","India caused or is responsible for the global pattern"
C09,public,forbidden,"The world became less democratic.","Not identified by the estimand","None","Any equivalent causal or value judgment"
C10,public,forbidden,"More people prefer autocracy.","Population residence is not political preference","None","Individual-level inference"
C11,public,forbidden,"The change was caused by India or by an event in 2015.","No historical causal design","None","Single-country blame or causal history"
C12,public,forbidden,"The trajectory is a continuous decline or gradual reversal.","Early adjacent-year stability fails","None","Smoothing or editing that hides the 1975 and 1978 crossings"
C13,public,forbidden,"The V-Dem category is an objective or universal truth about each country.","One source taxonomy with boundary uncertainty","None","Taxonomy-free certainty"
C14,public,forbidden,"The trend predicts the future.","No forecasting model","None","Prediction or inevitability"
C15,public,allowed_with_context,"COUNT COUNTRIES is audience-friendly shorthand.","Editorial simplification","Methodology must say eligible V-Dem political units","Claim that the denominator is every sovereign state under a universal legal list"
C16,public,allowed,"Same world. Two counts. What do you see?","Open interpretive prompt","No conclusion card follows","Prompt engineered to imply a political verdict"
C17,support,not_tested,"The result holds under an external political-regime classification.","S10 unavailable","Label not tested","Presenting unavailable robustness as passed"
C18,support,not_tested,"The result is stable across future source revisions.","S11 unavailable","Label not tested","Treating one frozen snapshot as revision robustness"
C19,internal,supported_with_context,"H1 and H2 pass under the frozen post-exploratory method.","V-004 contract and V-005 validation","Data-informed; not blind confirmation","Independent confirmation or preregistered-discovery claim"
C20,public,forbidden,"The video ends with a substantive political conclusion.","Owner editorial rule and V-006 communication boundary","End with an open question","Conclusion card or narrated verdict"
