claim_id,scope,claim_text,status,evidence,required_qualifier
C01,scientific,"Undernourishment did not always fall when adult obesity rose robustly",supported,"R=28 among 133 conditional entities","National estimates; 2001 to 2023; descriptive and ecological"
C02,scientific,"Falls were more common than rises within the frozen conditional universe",supported,"F=81; R=28; pF-pR=39.8 pp","Among 133 comparable countries and areas with robust obesity rise"
C03,scientific,"H1 is supported",supported,"pF>pR>0 in P0_2001_2023","Under the frozen interval-aware decision rule"
C04,scientific,"H2 is supported",supported_with_context,"13 of 13 registered scenarios plus independent reproduction","Post-hoc/data-informed question with prospective source-quality-method-sensitivity freeze"
C05,public,"2023 — 28 BOTH ROSE",allowed,"Endpoint R=28","Relative to 2001; robust interval decisions"
C06,public,"2023 — 81 OBESITY UP / UNDERNOURISHMENT DOWN",allowed,"Endpoint F=81","Relative to 2001; robust interval decisions"
C07,public,"52 OTHER / UNCERTAIN",allowed_with_context,"A=U+O=24+28","A combines indeterminate PoU change and cases without robust obesity rise; it does not mean no change"
C08,public,"Among 133 with robust obesity rise, 81 had PoU fall and 28 had PoU rise",allowed_with_context,"Primary conditional denominator","Say countries and areas; retain denominator 133"
C09,public,"F exceeded R at each midpoint from 2005 through 2023",allowed_with_context,"Annual composition series","Frames are relative to 2001; PoU windows overlap; early denominators are small"
C10,support,"The ordering survived all 13 frozen sensitivity scenarios",allowed_with_context,"v005-sensitivity-results.csv","State post-hoc/data-informed registration and frozen scope"
C11,support,"Excluding endpoint pairs with censored PoU preserves the ordering",allowed_with_context,"C1: conditional 92; F=63; R=28; U=1","Sensitivity result; not a replacement primary estimate"
C12,support,"149 comparable entities map and 12 remain off-map",allowed,"Geometry crosswalk and endpoint decisions","Off-map cases remain in totals and require a visible strip"
C13,public,"Hunger is a shorthand in the hook",allowed_with_context,"Editorial comprehension decision","Define exact construct as prevalence of undernourishment in support text"
C14,engagement,"SAME WORLD. DIFFERENT PATHS. WHAT DO YOU SEE?",allowed,"Open interpretation prompt","Do not append a substantive conclusion card"
C15,forbidden,"Obesity caused hunger or undernourishment",forbidden,"No causal design","Never use causal verbs or mechanisms"
C16,forbidden,"The same people became obese and undernourished",forbidden,"Indicators have different human denominators","Country-year is the only shared unit"
C17,forbidden,"Hunger disappeared or always fell",forbidden,"R=28 and U=24","Use exact states and denominators"
C18,forbidden,"Every region follows the global ordering",forbidden,"Regional heterogeneity; one tie and one all-U region","No universal regional statement or ranking"
C19,forbidden,"2008 was a shock explosion or historical turning point",forbidden,"Largest turnover=22 but adjacent PoU windows overlap two years","May be evaluated only as movement candidate with overlap caveat"
C20,forbidden,"A means no change",forbidden,"A=U+O","Label OTHER / UNCERTAIN"
C21,forbidden,"The pattern will continue",forbidden,"No predictive model","No forecast language"
C22,forbidden,"The result independently confirms a preregistered hypothesis",forbidden,"Question was post-hoc/data-informed","Describe exact registration degree"
C23,forbidden,"A country or region is to blame or ranks worst",forbidden,"No ranking/blame design","No cherry-picked accusation or moral score"
C24,not_tested,"The same answer holds under a different external obesity or PoU source",not_tested,"No external-source replication","Say not tested"
